"FID","FID.1","mean","sd","skewness","kurtosis"
"110",110,0.563403101226214,0.106561141823953,-0.370765460785325,-0.559882927567394
"111",111,0.514759553226614,0.128940268183422,-0.302357306446641,-0.617155648368363
"112",112,0.65199947229008,0.0855566863768384,-0.628277214105079,0.338482282573293
"113",113,0.601216719946985,0.111230890000331,-0.57592020866576,-0.269678486644625
"114",114,0.521709907360449,0.107477529778752,-0.259068946429347,-0.604961514754955
"115",115,0.50216365901171,0.103772167170503,-0.274355557183979,-0.146456008661599
"116",116,0.562319680659315,0.0834076421065121,-0.524156192047702,0.134318033433778
"117",117,0.475443662026816,0.119888542077046,-0.069110387961185,-0.90630491376618
"118",118,0.559855379232638,0.0940415393512383,-0.567609918068394,0.179912134230581
"119",119,0.600732259827767,0.108226524480125,-0.706751338227251,0.323903266059686
"120",120,0.604680787425188,0.108010995803221,-0.677989576103814,0.337361774121289
"121",121,0.63216970056081,0.0727128621639975,-0.487512476779448,0.0574984613706984
"122",122,0.612239327531118,0.075850000346671,-0.59066082580765,0.557873881290766
"123",123,0.445830767310213,0.129306565397353,-0.0619550464516489,-0.997767541545589
"124",124,0.634627926138657,0.091249910080267,-0.569081081620146,0.0851749906824204
"125",125,0.538101046236673,0.100229757425211,-0.307715771611766,-0.598112675351874
"126",126,0.579588016814374,0.0771938772236127,-0.419417775259196,-0.175867789004942
"127",127,0.572661134536761,0.077410104413491,-0.354227458201898,-0.00149608823639724
"128",128,0.635837930422493,0.0975863367296575,-1.06973815206886,1.45986369529382
"129",129,0.660272872601647,0.0711480792013645,-0.603559162212699,0.38423741777662
"130",130,0.708752810976354,0.0746042996568263,-1.02728848810859,1.54390503220978
"131",131,0.714334195796699,0.0610289180090375,-0.585107249668895,0.419702931209967
"132",132,0.736084937840673,0.0578166565198956,-1.43389606273535,3.98774995012993
"133",133,0.676962741612859,0.0762543535644651,-0.642861750123216,0.467497642956794
"134",134,0.634378819948135,0.0988824588331729,-0.952393593054291,0.916219056488859
"135",135,0.575636199918969,0.139681876363119,-0.755580967944808,-0.101267661348892
"136",136,0.618516769540528,0.0943428559073626,-0.356010596202547,-0.36690743742148
"137",137,0.532707422137129,0.0892366588761159,-0.253635335275879,-0.323478145930792
"138",138,0.540285520809378,0.0918025330597542,-0.326513645520359,-0.259448263882391
"139",139,0.601717190385938,0.0851112623396401,-0.406850390049743,0.259301009676766
"140",140,0.635744360971316,0.0801796938616715,-0.619394528365656,0.1944027080611
"141",141,0.540718157132886,0.117048296731217,-0.52138186657332,-0.405918602891833
"142",142,0.52944743976278,0.0988114408863648,-0.246262430227022,-0.232110545394886
"143",143,0.551925205953733,0.117257512019127,-0.52201402543868,-0.242477239341822
"144",144,0.492835493988941,0.100371002712899,-0.0615816854200244,-0.425040802095806
"145",145,0.509963059226795,0.0887652908163367,-0.148139662288154,-0.291378723099929
"146",146,0.558836790910663,0.120096421993643,-0.347305363181247,-0.46881824978351
"147",147,0.660751499501748,0.0840872828262736,-1.04476951710937,1.41218519189002
"148",148,0.636724101825283,0.0942688872852525,-1.02451804048498,1.17337949271066
"149",149,0.648396762187024,0.0812556435189172,-0.829119564386071,0.831224002683034
"150",150,0.590354562833648,0.102692636929908,-0.481175884122642,-0.0456922318029558
"151",151,0.568125285030703,0.0985544135509198,-0.572251514376217,0.0456864685583542
"152",152,0.650279634081562,0.0711737415386238,-0.889987507285143,1.52689246729683
